Time[s],TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_TAR,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU11::SCU_POS_ACT,TMc_SBW(-)19.04.11_Ver1.00_Backup::SCU_MCP::SCU_S2_PWM
26.420000,6,6,37.200000
26.430000,6,6,37.200000
26.440000,6,6,37.200000
26.450000,6,6,37.200000
26.460000,6,6,37.200000
26.470000,6,6,37.200000
26.480000,6,6,37.200000
26.490000,6,6,37.200000
26.500000,6,6,37.200000
26.510000,6,6,37.200000
26.520000,6,6,37.200000
26.530000,6,6,37.200000
26.540000,6,6,37.200000
26.550000,6,6,37.200000
26.560000,6,6,37.200000
26.570000,6,6,37.200000
26.580000,6,6,37.200000
26.590000,6,6,37.200000
26.600000,6,6,37.200000
26.610000,6,6,37.200000
26.620000,6,6,37.200000
26.630000,6,6,37.200000
26.640000,6,6,37.200000
26.650000,6,6,37.200000
26.660000,6,6,37.200000
26.670000,6,6,37.200000
26.680000,6,6,37.200000
26.690000,6,6,37.200000
26.700000,6,6,37.200000
26.710000,6,6,37.200000
26.720000,6,6,37.200000
26.730000,6,6,37.200000
26.740000,6,6,37.200000
26.750000,6,6,37.200000
26.760000,6,6,37.200000
26.770000,6,6,37.200000
26.780000,6,6,37.200000
26.790000,6,6,37.200000
26.800000,6,6,37.200000
26.810000,6,6,37.200000
26.820000,6,6,37.200000
26.830000,6,6,37.200000
26.840000,6,6,37.200000
26.850000,6,6,37.200000
26.860000,6,6,37.200000
26.870000,6,6,37.200000
26.880000,6,6,37.200000
26.890000,6,6,37.200000
26.900000,6,6,37.200000
26.910000,2,6,37.200000
26.920000,0,6,37.200000
26.930000,0,6,37.200000
26.940000,0,6,37.246299
26.950000,0,6,37.300000
26.960000,0,6,37.346137
26.970000,0,6,38.229323
26.980000,0,6,40.302342
26.990000,0,6,42.656206
27.000000,0,6,46.014528
27.010000,0,6,50.217946
27.020000,0,6,52.382576
27.030000,0,7,53.376128
27.040000,0,7,55.438117
27.050000,0,7,57.889188
27.060000,0,7,60.425052
27.070000,0,7,63.123600
27.080000,0,7,65.728109
27.090000,0,7,69.079604
27.100000,0,7,74.510143
27.110000,0,7,78.559094
27.120000,0,7,79.538491
27.130000,0,3,80.200000
27.140000,0,0,80.244663
27.150000,0,0,80.300000
27.160000,0,0,80.300000
27.170000,0,0,80.300000
27.180000,0,0,80.432940
27.190000,0,0,80.953840
27.200000,0,0,81.707283
27.210000,0,0,82.275022
27.220000,0,0,82.632113
27.230000,0,0,82.932057
27.240000,0,0,83.143899
27.250000,0,0,83.156232
27.260000,0,0,83.143691
27.270000,0,0,83.156357
27.280000,0,0,83.100000
27.290000,0,0,83.100000
27.300000,0,0,83.100000
27.310000,0,0,83.100000
27.320000,0,0,83.100000
27.330000,0,0,83.100000
27.340000,0,0,83.100000
27.350000,0,0,83.100000
27.360000,0,0,83.100000
27.370000,0,0,83.100000
27.380000,0,0,83.100000
27.390000,0,0,83.100000
